index,cycle_time
0,9
1,8
2,7
3,8
4,6
5,7
6,7
7,6
8,6
9,6
10,6
11,8
12,7
13,11
14,11
15,11
16,11
17,10
18,9
19,8
20,7
21,8
22,7
23,9
24,8
25,9
26,9
27,8
28,8
29,9
30,8
31,12
32,10
33,13
34,10
35,8
36,6
37,9
38,7
39,8
40,9
41,8
42,8
43,8
44,8
45,8
46,8
47,9
48,9
49,7
50,9
51,8
52,8
53,8
54,8
55,10
56,7
57,8
58,7
59,7
60,7
61,8
62,9
63,8
64,9
65,10
66,8
67,9
68,8
69,9
70,8
71,8
72,8
73,9
74,8
75,9
76,8
77,9
78,8
79,9
80,9
81,10
82,9
83,7
84,10
85,9
86,9
87,9
88,9
89,10
90,9
91,9
92,8
93,9
94,9
95,10
96,9
97,9
98,10
99,9
100,9
101,9
102,10
103,9
104,9
105,10
106,9
107,9
108,10
109,9
110,10
111,8
112,10
113,10
114,10
115,11
116,9
117,10
118,9
119,10
120,10
121,9
122,10
123,9
124,10
125,10
126,8
127,10
128,9
129,11
130,10
131,9
132,10
133,10
134,10
135,10
136,9
137,11
138,9
139,11
140,10
141,9
142,10
143,10
144,10
145,13
146,11
147,11
148,9
149,11
150,10
151,10
152,11
153,10
154,10
155,11
156,11
157,11
158,9
159,11
160,11
161,12
162,11
163,11
164,11
165,11
166,10
167,12
168,11
169,12
170,11
171,10
172,11
173,10
174,11
175,10
176,11
177,11
178,11
179,10
180,10
181,10
182,11
183,10
184,11
185,10
186,11
187,10
188,10
189,10
190,10
191,11
192,10
193,10
194,11
195,11
196,10
197,11
198,11
199,11
200,11
201,10
202,10
203,11
204,20
205,12
206,10
207,10
208,11
209,11
210,11
211,11
212,11
213,11
214,10
215,11
216,11
217,10
218,12
219,10
220,11
221,11
222,10
223,11
224,10
225,10
226,11
227,10
228,11
229,10
230,11
231,11
232,10
233,11
234,10
235,10
236,10
237,11
238,12
239,10
240,12
241,11
242,10
243,11
244,11
245,12
246,11
247,10
248,11
249,10
250,11
251,12
252,10
253,11
254,11
255,10
256,10
257,10
258,10
259,9
260,11
261,12
262,11
263,11
264,10
265,11
266,10
267,10
268,11
269,10
270,11
271,10
272,11
273,12
274,10
275,12
276,11
277,10
278,11
279,10
280,11
281,10
282,11
283,10
284,10
285,11
286,10
287,10
288,10
289,11
290,11
291,10
292,11
293,10
294,11
295,11
296,11
297,10
298,10
299,11
300,11
301,11
302,12
303,11
304,12
305,11
306,11
307,12
308,11
309,13
310,13
311,11
312,12
313,12
314,11
315,11
316,11
317,11
318,11
319,12
320,11
321,10
322,10
323,11
324,11
325,11
326,11
327,12
328,11
329,11
330,13
331,11
332,11
333,10
334,11
335,12
336,12
337,12
338,11
339,11
340,11
341,12
342,11
343,10
344,11
345,11
346,11
347,11
348,10
349,11
350,10
351,11
352,10
353,10
354,10
355,11
356,11
357,10
358,11
359,10
360,10
361,11
362,11
363,10
364,11
365,11
366,11
367,11
368,11
369,11
370,11
371,10
372,10
373,11
374,10
375,9
376,11
377,11
378,10
379,10
380,10
381,10
382,11
383,9
384,11
385,10
386,10
387,10
388,11
389,10
390,10
391,11
392,10
393,10
394,11
395,11
396,10
397,12
398,11
399,11
400,11
401,10
402,11
403,11
404,11
405,11
406,10
407,11
408,10
409,12
410,11
411,10
412,10
413,10
414,10
415,10
416,10
417,11
418,10
419,11
420,11
421,9
422,11
423,11
424,11
425,11
426,10
427,11
428,11
429,11
430,11
431,11
432,11
433,10
434,12
435,11
436,10
437,11
438,10
439,10
440,11
441,10
442,11
443,10
444,10
445,9
446,11
447,10
448,10
449,11
450,10
451,9
452,11
453,10
454,11
455,10
456,10
457,10
458,10
459,11
460,11
461,10
462,10
463,12
464,10
465,11
466,10
467,11
468,11
469,10
470,11
471,11
472,11
473,11
474,10
475,11
476,9
477,10
478,11
479,10
480,11
481,10
482,11
483,10
484,11
485,11
486,10
487,11
488,11
489,10
490,11
491,11
492,11
493,11
494,11
495,11
496,10
497,12
498,11
499,11
500,10
501,11
502,12
503,12
504,10
505,11
506,10
507,10
508,11
509,10
510,10
511,10
512,11
513,10
514,11
515,11
516,11
517,11
518,10
519,11
520,12
521,11
522,12
523,11
524,12
525,12
526,12
527,12
528,11
529,12
530,11
531,12
532,12
533,11
534,12
535,11
536,12
537,11
538,11
539,11
540,11
541,11
542,11
543,11
544,12
545,11
546,12
547,11
548,12
549,11
550,11
551,11
552,12
553,12
554,12
555,14
556,13
557,16
558,12
559,12
560,13
561,12
562,11
563,11
564,20
565,12
566,11
567,11
568,11
569,10
570,11
571,11
572,10
573,11
574,11
575,10
576,10
577,11
578,10
579,10
580,9
581,10
582,10
583,11
584,10
585,10
586,11
587,10
588,11
589,10
590,11
591,12
592,10
593,11
594,9
595,11
596,10
597,10
598,11
599,11
600,10
601,11
602,11
603,11
604,11
605,11
606,12
607,10
608,11
609,11
610,11
611,11
612,11
613,11
614,10
615,11
616,12
617,11
618,11
619,11
620,12
621,12
622,12
623,11
624,10
625,11
626,12
627,11
628,12
629,11
630,12
631,12
632,11
633,12
634,12
635,11
636,12
637,11
638,12
639,18
640,15
641,14
642,11
643,12
644,11
645,11
646,11
647,10
648,11
649,10
650,10
651,10
652,10
653,11
654,10
655,11
656,10
657,11
658,10
659,10
660,11
661,11
662,10
663,12
664,10
665,11
666,10
667,11
668,11
669,10
670,11
671,10
672,11
673,10
674,10
675,10
676,11
677,10
678,10
679,10
680,11
681,10
682,11
683,11
684,11
685,10
686,11
687,10
688,11
689,11
690,11
691,11
692,11
693,11
694,11
695,10
696,10
697,10
698,11
699,10
700,10
701,11
702,10
703,11
704,10
705,16
706,11
707,9
708,10
709,10
710,10
711,11
712,10
713,11
714,10
715,11
716,11
717,10
718,11
719,11
720,12
721,11
722,11
723,11
724,10
725,11
726,12
727,11
728,10
729,11
730,10
731,11
732,11
733,11
734,11
735,11
736,10
737,10
738,10
739,10
740,10
741,10
742,10
743,11
744,10
745,11
746,11
747,10
748,10
749,10
750,11
751,10
752,10
753,10
754,11
755,11
756,10
757,12
758,10
759,10
760,11
761,11
762,12
763,10
764,12
765,11
766,10
767,14
768,14
769,11
770,10
771,10
772,11
773,10
774,11
775,10
776,10
777,11
778,10
779,10
780,12
781,10
782,10
783,11
784,11
785,11
786,10
787,12
788,11
789,12
790,12
791,11
792,12
793,11
794,11
795,11
796,12
797,11
798,11
799,12
800,10
801,11
802,11
803,10
804,10
805,10
806,10
807,10
808,10
809,10
810,10
811,11
812,10
813,11
814,11
815,10
816,10
817,10
818,11
819,11
820,10
821,11
822,10
823,11
824,12
825,10
826,11
827,10
828,10
829,10
830,15
831,9
832,10
833,11
834,9
835,11
836,12
837,11
838,11
839,11
840,12
841,12
842,10
843,12
844,12
845,11
846,11
847,12
848,12
849,10
850,11
851,12
852,11
853,11
854,10
855,11
856,10
857,10
858,10
859,9
860,11
861,11
862,10
863,11
864,10
865,12
866,10
867,11
868,11
869,11
870,20
871,12
872,10
873,10
874,10
875,10
876,11
877,11
878,10
879,12
880,10
881,11
882,11
883,10
884,20
885,12
886,9
887,11
888,11
889,10
890,11
891,10
892,12
893,13
894,11
895,10
896,10
897,10
898,11
899,10
900,11
901,10
902,10
903,12
904,11
905,11
906,9
907,11
908,10
909,10
910,11
911,10
912,11
913,10
914,10
915,12
916,10
917,12
918,10
919,11
920,11
921,10
922,11
923,10
924,12
925,11
926,10
927,11
928,10
929,11
930,10
931,10
932,10
933,10
934,10
935,10
936,11
937,9
938,11
939,10
940,10
941,11
942,11
943,11
944,12
945,10
946,11
947,10
948,12
949,12
950,10
951,11
952,10
953,10
954,11
955,10
956,10
957,10
958,10
959,11
960,10
961,11
962,10
963,11
964,11
965,11
966,12
967,10
968,11
969,11
970,11
971,10
972,10
973,10
974,11
975,10
976,10
977,11
978,9
979,10
980,10
981,11
982,10
983,11
984,10
985,11
986,11
987,10
988,11
989,10
990,10
991,11
992,11
993,11
994,10
995,11
996,10
997,11
998,9
999,11
1000,10
1001,10
1002,11
1003,10
1004,11
1005,11
1006,10
1007,11
1008,10
1009,11
1010,12
1011,10
1012,11
1013,11
1014,11
1015,11
1016,9
1017,12
1018,10
1019,11
1020,12
1021,10
1022,9
1023,11
1024,11
1025,10
1026,11
1027,10
1028,12
1029,10
1030,10
1031,10
1032,11
1033,10
1034,11
1035,10
1036,10
1037,11
1038,10
1039,11
1040,10
1041,10
1042,11
1043,10
1044,11
1045,11
1046,11
1047,11
1048,11
1049,11
1050,11
1051,11
1052,11
1053,10
1054,12
1055,10
1056,12
1057,11
1058,10
1059,10
1060,10
1061,11
1062,11
1063,20
1064,12
1065,11
1066,10
1067,10
1068,11
1069,10
1070,11
1071,11
1072,11
1073,11
1074,10
1075,10
1076,10
1077,10
1078,11
1079,11
1080,10
1081,11
1082,9
1083,11
1084,11
1085,10
1086,11
1087,10
1088,11
1089,11
1090,10
1091,11
1092,10
1093,11
1094,11
1095,11
1096,11
1097,10
1098,11
1099,11
1100,10
1101,11
1102,10
1103,10
1104,11
1105,10
1106,11
1107,9
1108,12
1109,10
1110,10
1111,10
1112,10
1113,11
1114,10
1115,11
1116,12
1117,10
1118,11
1119,10
1120,11
1121,10
1122,12
1123,11
1124,11
1125,11
1126,11
1127,11
1128,10
1129,11
1130,11
1131,10
1132,11
1133,10
1134,11
1135,10
1136,10
1137,11
1138,10
1139,10
1140,10
1141,10
1142,11
1143,10
1144,11
1145,11
1146,10
1147,10
1148,10
1149,11
1150,11
1151,10
1152,11
1153,11
1154,11
1155,10
1156,10
1157,10
1158,11
1159,11
1160,10
1161,10
1162,10
1163,10
1164,9
1165,10
1166,11
1167,9
1168,11
1169,10
1170,10
1171,11
1172,11
1173,13
1174,10
1175,11
1176,11
1177,10
1178,12
1179,11
1180,11
1181,11
1182,10
1183,11
1184,11
1185,10
1186,11
1187,10
1188,11
1189,10
1190,11
1191,10
1192,10
1193,10
1194,10
1195,10
1196,10
1197,10
1198,11
1199,10
1200,10
1201,10
1202,10
1203,11
1204,11
1205,11
1206,11
1207,11
1208,11
1209,10
1210,11
1211,10
1212,11
1213,12
1214,10
1215,12
1216,10
1217,11
1218,11
1219,10
1220,11
1221,10
1222,11
1223,11
1224,11
1225,10
1226,10
1227,11
1228,10
1229,11
1230,11
1231,11
1232,10
1233,11
1234,9
1235,11
1236,10
1237,10
1238,11
1239,10
1240,11
1241,10
1242,10
1243,11
1244,11
1245,11
1246,11
1247,10
1248,11
1249,10
1250,10
1251,11
1252,10
1253,12
1254,11
1255,11
1256,11
1257,10
1258,16
1259,10
1260,12
1261,11
1262,11
1263,12
1264,10
1265,11
1266,11
1267,10
1268,11
1269,10
1270,12
1271,11
1272,10
1273,11
1274,10
1275,12
1276,11
1277,11
1278,10
1279,11
1280,11
1281,11
1282,11
1283,11
1284,10
1285,12
1286,10
1287,11
1288,11
1289,10
1290,11
1291,11
1292,11
1293,10
1294,11
1295,10
1296,10
1297,11
1298,9
1299,11
1300,10
1301,10
1302,20
1303,11
1304,11
1305,9
1306,10
1307,10
1308,10
1309,10
1310,10
1311,11
1312,18
1313,12
1314,10
1315,10
1316,10
1317,10
1318,10
1319,11
1320,10
1321,11
1322,11
1323,10
1324,10
1325,11
1326,11
1327,11
1328,10
1329,12
1330,11
1331,11
1332,11
1333,10
1334,11
1335,10
1336,9
1337,12
1338,10
1339,10
1340,10
1341,10
1342,10
1343,10
1344,10
1345,10
1346,10
1347,11
1348,10
1349,10
1350,10
1351,11
1352,11
1353,10
1354,11
1355,10
1356,11
1357,11
1358,10
1359,11
1360,10
1361,11
1362,10
1363,10
1364,11
1365,10
1366,10
1367,10
1368,11
1369,11
1370,11
1371,10
1372,11
1373,9
1374,11
1375,11
1376,10
1377,11
1378,9
1379,11
1380,10
1381,11
1382,11
1383,10
1384,11
1385,11
1386,11
1387,10
1388,12
1389,12
1390,11
1391,10
1392,11
1393,12
1394,11
1395,10
1396,10
1397,9
1398,10
1399,11
1400,11
1401,9
1402,11
1403,10
1404,10
1405,11
1406,11
1407,11
1408,10
1409,11
1410,10
1411,10
1412,10
1413,11
1414,10
1415,11
1416,10
1417,10
1418,11
1419,10
1420,11
1421,11
1422,10
1423,10
1424,10
1425,11
1426,10
1427,11
1428,10
1429,10
1430,10
1431,10
1432,11
1433,9
1434,11
1435,11
1436,10
1437,11
1438,10
1439,11
1440,11
1441,11
1442,10
1443,10
1444,11
1445,11
1446,10
1447,10
1448,11
1449,10
1450,11
1451,11
1452,11
1453,10
1454,10
1455,11
1456,10
1457,11
1458,11
1459,10
1460,11
1461,10
1462,11
1463,11
1464,9
1465,11
1466,10
1467,10
1468,10
1469,11
1470,10
1471,11
1472,12
1473,9
1474,11
1475,12
1476,10
1477,11
1478,10
1479,11
1480,10
1481,10
1482,12
1483,11
1484,12
1485,12
1486,10
1487,12
1488,10
1489,10
1490,10
1491,20
1492,12
1493,10
1494,10
1495,11
1496,10
1497,11
1498,11
1499,11
1500,11
1501,10
1502,12
1503,10
1504,20
1505,12
1506,11
1507,10
1508,11
1509,10
1510,11
1511,10
1512,12
1513,12
1514,9
1515,11
1516,10
1517,9
1518,11
1519,10
1520,10
1521,11
1522,11
1523,10
1524,10
1525,11
1526,10
1527,12
1528,11
1529,11
1530,11
1531,10
1532,11
1533,11
1534,11
1535,11
1536,11
1537,11
1538,11
1539,11
1540,11
1541,10
1542,11
1543,9
1544,11
1545,10
1546,11
1547,10
1548,10
1549,10
1550,10
1551,10
1552,11
1553,10
1554,11
1555,11
1556,11
1557,10
1558,10
1559,11
1560,10
1561,11
1562,11
1563,11
1564,12
1565,10
1566,11
1567,17
1568,10
1569,10
1570,11
1571,10
1572,10
1573,11
1574,10
1575,12
1576,10
1577,11
1578,10
1579,11
1580,10
1581,10
1582,12
1583,11
1584,12
1585,11
1586,9
1587,11
1588,10
1589,10
1590,11
1591,12
1592,11
1593,11
1594,11
1595,10
1596,9
1597,11
1598,10
1599,11
1600,11
1601,11
1602,11
1603,10
1604,11
1605,10
1606,11
1607,11
1608,10
1609,11
1610,10
1611,11
1612,10
1613,10
1614,11
1615,11
1616,11
1617,10
1618,11
1619,10
1620,10
1621,11
1622,10
1623,11
1624,11
1625,11
1626,11
1627,10
1628,11
1629,10
1630,11
1631,11
1632,11
1633,10
