,cycle_time
798,12
799,21
800,12
801,11
802,11
803,11
804,11
805,12
806,10
807,12
808,11
809,11
810,12
811,11
812,11
813,11
814,10
815,10
816,11
817,9
818,11
819,10
820,10
821,11
822,10
823,10
824,11
825,10
826,11
827,11
828,11
829,12
830,10
831,11
832,10
833,11
834,11
835,10
836,11
837,11
838,11
839,11
840,12
841,12
842,12
843,12
844,13
845,12
846,12
847,11
848,11
849,11
850,11
851,12
852,12
853,11
854,12
855,11
856,11
857,11
858,11
859,12
860,11
861,11
862,10
863,12
864,11
865,11
866,11
867,10
868,11
869,10
870,12
871,12
872,11
873,11
874,10
875,11
876,11
877,11
878,11
879,11
880,24
881,12
882,11
883,10
884,12
885,12
886,10
887,10
888,11
889,11
890,11
891,10
892,11
893,10
894,12
895,11
896,10
897,11
898,11
899,10
900,12
901,10
902,11
903,12
904,10
905,10
906,10
907,11
908,10
909,11
910,10
911,11
912,11
913,11
914,11
915,11
916,11
917,11
918,11
919,12
920,10
921,11
922,10
923,11
924,12
925,10
926,11
927,10
928,11
929,10
930,11
931,11
932,10
933,10
934,11
935,11
936,11
937,10
938,11
939,11
940,11
941,10
942,11
943,11
944,11
945,11
946,10
947,11
948,11
949,10
950,11
951,11
952,11
953,11
954,11
955,11
956,10
957,10
958,11
959,9
960,11
961,10
962,10
963,11
964,10
965,12
966,10
967,11
968,11
969,10
970,11
971,11
972,12
973,11
974,11
975,11
976,10
977,12
978,10
979,9
980,11
981,10
982,11
983,10
984,11
985,10
986,10
987,11
988,10
989,11
990,9
991,11
992,10
993,10
994,11
995,10
996,10
997,11
998,10
999,10
1000,11
1001,11
1002,10
1003,10
1004,11
1005,10
1006,12
1007,12
1008,19
1009,13
1010,11
1011,11
1012,11
1013,12
1014,11
1015,12
1016,12
1017,11
1018,13
1019,13
1020,10
1021,12
1022,10
1023,11
1024,11
1025,11
1026,11
1027,11
1028,11
1029,10
1030,11
1031,11
1032,11
1033,11
1034,11
1035,11
1036,11
1037,10
1038,12
1039,10
1040,11
1041,11
1042,11
1043,12
1044,11
1045,12
1046,10
1047,11
1048,11
1049,11
1050,11
1051,11
1052,10
1053,11
1054,11
1055,11
1056,12
1057,10
1058,11
1059,10
1060,11
1061,11
1062,10
1063,11
1064,10
1065,11
1066,11
1067,10
1068,11
1069,11
1070,11
1071,12
1072,11
1073,12
1074,11
1075,12
1076,12
1077,10
1078,11
1079,10
1080,11
1081,11
1082,11
1083,11
1084,10
1085,11
1086,11
1087,10
1088,11
1089,11
1090,11
1091,10
1092,11
1093,11
1094,11
1095,11
1096,11
1097,11
1098,11
1099,12
1100,11
1101,11
1102,11
1103,10
1104,12
1105,10
1106,9
1107,11
1108,10
1109,11
1110,11
1111,10
1112,11
1113,10
1114,11
1115,11
1116,10
1117,11
1118,10
1119,11
1120,10
1121,10
1122,11
1123,10
1124,12
1125,11
1126,11
1127,12
1128,10
1129,11
1130,14
1131,12
1132,11
1133,11
1134,12
