,cycle_time
613,11
614,11
615,12
616,11
617,10
618,21
619,12
620,11
621,10
622,12
623,12
624,10
625,11
626,11
627,11
628,11
629,10
630,12
631,11
632,10
633,9
634,10
635,10
636,9
637,10
638,9
639,11
640,11
641,10
642,11
643,10
644,11
645,10
646,11
647,11
648,10
649,10
650,10
651,11
652,10
653,10
654,11
655,11
656,11
657,11
658,10
659,11
660,10
661,12
662,10
663,10
664,11
665,8
666,11
667,10
668,10
669,10
670,10
671,11
672,10
673,10
674,11
675,10
676,11
677,11
678,10
679,11
680,10
681,11
682,10
683,12
684,11
685,11
686,10
687,11
688,11
689,11
690,10
691,11
692,10
693,11
694,11
695,10
696,10
697,10
698,10
699,11
700,10
701,10
702,10
703,11
704,11
705,10
706,11
707,10
708,11
709,11
710,10
711,10
712,10
713,11
714,11
715,10
716,11
717,10
718,20
719,11
720,11
721,10
722,10
723,10
724,11
725,11
726,10
727,10
728,10
729,11
730,11
731,10
732,11
733,9
734,10
735,10
736,11
737,11
738,9
739,11
740,11
741,10
742,11
743,9
744,11
745,11
746,10
747,11
748,10
749,11
750,11
751,10
752,11
753,11
754,11
755,10
756,10
757,11
758,10
759,20
760,13
761,11
762,9
763,10
764,10
765,11
766,10
767,10
768,11
769,9
770,10
771,21
772,12
773,10
774,10
775,11
776,10
777,11
778,10
779,11
780,11
781,10
782,10
783,10
784,12
785,10
786,9
787,11
788,9
789,10
790,10
791,11
792,10
793,10
794,11
795,10
796,11
797,11
798,11
799,11
800,10
801,11
802,11
803,10
804,10
805,10
806,10
807,10
808,10
809,11
810,9
811,11
812,9
813,10
814,11
815,10
816,11
817,10
818,10
819,11
820,10
821,11
822,10
823,10
824,10
825,10
826,10
827,10
828,11
829,11
830,10
831,13
832,12
833,11
834,11
835,10
836,10
837,10
838,11
839,10
840,11
841,11
842,10
843,11
844,11
845,10
846,11
847,10
848,10
849,10
850,9
851,11
852,10
853,11
854,11
855,11
856,11
857,10
858,11
859,10
860,11
861,11
862,10
863,11
864,11
865,10
866,11
867,10
868,11
869,10
870,11
871,11
872,10
873,10
874,10
875,10
876,9
877,10
878,10
879,10
880,10
881,10
882,11
883,10
884,10
885,10
886,10
887,10
888,10
889,11
890,11
891,10
892,11
893,10
894,10
895,10
896,10
897,11
898,10
899,10
900,10
901,9
902,11
903,10
904,10
905,10
906,10
907,10
908,12
909,10
910,11
911,10
912,10
913,10
914,10
915,11
916,10
917,10
918,11
919,10
920,10
921,10
922,11
923,11
924,11
925,11
926,11
927,10
928,11
929,10
930,10
931,10
932,10
933,10
934,10
935,10
936,9
937,11
938,11
939,10
940,11
941,10
942,11
943,11
944,11
945,10
946,11
947,10
948,11
949,10
950,11
951,9
952,11
953,10
954,10
955,11
956,10
957,11
958,11
959,10
960,10
961,10
962,11
963,11
964,9
965,10
966,11
967,9
968,10
969,10
970,11
971,10
972,10
973,11
974,9
975,10
976,10
977,11
978,11
979,10
980,11
981,10
982,11
983,10
984,12
985,11
986,11
987,11
988,10
989,10
990,10
991,11
992,10
993,9
994,11
995,9
996,10
997,11
998,10
999,11
1000,11
1001,9
1002,11
1003,10
1004,10
1005,11
1006,10
1007,11
1008,11
1009,11
1010,11
1011,10
1012,11
1013,9
1014,11
1015,10
1016,11
1017,11
1018,10
1019,11
1020,11
1021,10
1022,9
1023,11
1024,11
1025,9
1026,11
1027,10
1028,11
1029,11
1030,10
1031,11
1032,10
1033,11
1034,11
1035,11
1036,10
1037,11
1038,10
1039,11
1040,10
1041,11
1042,11
1043,10
1044,11
1045,10
1046,11
1047,10
1048,11
1049,11
1050,10
1051,11
1052,10
1053,10
1054,11
1055,10
1056,10
1057,9
1058,10
1059,10
1060,10
1061,10
1062,10
1063,10
1064,10
1065,11
1066,11
1067,10
1068,10
1069,10
1070,11
1071,10
1072,11
1073,11
1074,10
1075,10
1076,9
1077,11
1078,10
1079,11
1080,11
1081,11
1082,11
1083,11
1084,10
1085,11
1086,10
1087,10
1088,10
1089,10
1090,10
1091,11
1092,10
1093,10
1094,12
1095,10
1096,10
1097,11
1098,9
1099,11
1100,10
1101,12
1102,11
1103,10
1104,11
1105,11
1106,10
1107,11
1108,10
1109,11
1110,9
1111,11
1112,11
1113,9
1114,10
1115,10
1116,11
1117,10
1118,10
1119,11
1120,11
1121,10
1122,10
1123,11
1124,11
1125,11
1126,11
1127,11
1128,12
1129,11
1130,10
1131,11
1132,11
1133,11
1134,11
1135,11
1136,10
1137,11
1138,10
1139,18
1140,14
1141,23
1142,15
1143,10
1144,10
1145,10
1146,11
1147,11
1148,10
1149,11
1150,10
1151,10
1152,10
1153,11
1154,10
1155,10
1156,10
1157,10
1158,11
1159,10
1160,11
