,cycle_time
0,11
1,9
2,8
3,10
4,7
5,8
6,8
7,8
8,8
9,7
10,8
11,9
12,7
13,8
14,7
15,8
16,7
17,8
18,9
19,8
20,8
21,8
22,8
23,8
24,7
25,9
26,7
27,9
28,8
29,8
30,8
31,8
32,8
33,8
34,8
35,9
36,8
37,8
38,8
39,9
40,8
41,8
42,8
43,8
44,9
45,9
46,8
47,22
48,10
49,8
50,7
51,8
52,7
53,9
54,9
55,7
56,9
57,8
58,8
59,8
60,9
61,8
62,9
63,9
64,8
65,9
66,8
67,9
68,9
69,9
70,8
71,8
72,9
73,9
74,9
75,9
76,9
77,9
78,9
79,8
80,8
81,9
82,8
83,9
84,9
85,8
86,9
87,21
88,12
89,8
90,8
91,8
92,8
93,8
94,9
95,8
96,9
97,9
98,8
99,10
100,8
101,10
102,10
103,8
104,10
105,9
106,9
107,10
108,8
109,11
110,9
111,10
112,10
113,11
114,9
115,10
116,9
117,10
118,10
119,9
120,10
121,9
122,10
123,10
124,10
125,10
126,9
127,10
128,9
129,10
130,10
131,10
132,9
133,8
134,10
135,9
136,9
137,10
138,9
139,10
140,10
141,10
142,10
143,9
144,11
145,11
146,9
147,10
148,9
149,9
150,8
151,10
152,9
153,10
154,10
155,9
156,10
157,10
158,9
159,10
160,9
161,10
162,9
163,10
164,10
165,9
166,10
167,10
168,10
169,10
170,11
171,10
172,10
173,11
174,10
175,10
176,11
177,9
178,11
179,10
180,10
181,11
182,11
183,10
184,10
185,10
186,11
187,9
188,10
189,11
190,9
191,10
192,10
193,10
194,11
195,9
196,10
197,9
198,10
199,11
200,10
201,10
202,11
203,11
204,11
205,9
206,11
207,11
208,11
209,11
210,15
211,12
212,11
213,12
214,21
215,11
216,10
217,11
218,11
219,10
220,11
221,10
222,11
223,11
224,10
225,11
226,10
227,12
228,10
229,10
230,20
231,10
232,9
233,10
234,9
235,10
236,10
237,10
238,10
239,11
240,11
241,10
242,10
243,11
244,10
245,11
246,11
247,11
248,11
249,10
250,11
251,11
252,10
253,10
254,10
255,11
256,10
257,11
258,10
259,10
260,11
261,10
262,10
263,10
264,9
265,11
266,10
267,11
268,10
269,10
270,11
271,10
272,10
273,12
274,10
275,10
276,10
277,11
278,10
279,10
280,11
281,10
282,11
283,11
284,10
285,11
286,10
287,11
288,11
289,10
290,10
291,9
292,11
293,8
294,11
295,10
296,10
297,11
298,10
299,11
300,10
301,10
302,11
303,10
304,11
305,10
306,11
307,11
308,10
309,10
310,11
311,10
312,11
313,10
314,11
315,10
316,11
317,10
318,9
319,10
320,10
321,9
322,10
323,9
324,11
325,11
326,10
327,11
328,11
329,12
330,10
331,10
332,11
333,10
334,11
335,11
336,10
337,11
338,10
339,11
340,10
341,18
342,13
343,11
344,9
345,10
346,10
347,10
348,11
349,10
350,11
351,10
352,10
353,10
354,11
355,10
356,9
357,10
358,10
359,11
360,10
361,10
362,10
363,10
364,11
365,11
366,10
367,11
368,10
369,11
370,10
371,11
372,10
373,10
374,10
375,10
376,10
377,10
378,10
379,11
380,11
381,10
382,10
383,9
384,10
385,11
386,10
387,10
388,10
389,10
390,10
391,10
392,11
393,10
394,11
395,11
396,10
397,11
398,11
399,12
400,11
401,10
402,11
403,10
404,11
405,10
406,10
407,12
408,11
409,11
410,10
411,10
412,10
413,11
414,10
415,9
416,11
417,9
418,10
419,11
420,10
421,12
422,10
423,10
424,11
425,10
426,11
427,10
428,11
429,12
430,10
431,11
432,10
433,11
434,11
435,10
436,11
437,10
438,11
439,10
440,10
441,10
442,10
443,11
444,10
445,11
446,10
447,9
448,11
449,9
450,11
451,10
452,10
453,11
454,10
455,11
456,11
457,11
458,11
459,10
460,11
461,10
462,10
463,10
464,10
465,11
466,9
467,11
468,10
469,10
470,10
471,20
472,12
473,10
474,11
475,11
476,10
477,10
478,10
479,8
480,11
481,10
482,11
483,11
484,10
485,11
486,10
487,10
488,11
489,10
490,11
491,10
492,11
493,10
494,11
495,12
496,10
497,11
498,11
499,10
500,11
501,10
502,11
503,10
504,10
505,10
506,10
507,11
508,10
509,10
510,9
511,10
512,10
513,11
514,10
515,11
516,10
517,10
518,11
519,10
520,11
521,14
522,11
523,12
524,10
525,11
526,11
527,10
528,11
529,10
530,10
531,10
532,11
533,11
534,10
535,10
536,10
537,12
538,9
539,11
540,10
541,10
542,11
543,10
544,11
545,10
546,11
547,11
548,10
549,11
550,10
551,11
552,11
553,11
554,11
555,10
556,11
557,10
558,10
559,10
560,10
561,10
562,9
563,11
564,11
565,9
566,10
567,10
568,10
569,10
570,9
571,11
572,10
573,9
574,10
575,10
576,11
577,10
578,11
579,11
580,11
581,11
582,10
583,11
584,11
585,10
586,11
587,11
588,11
589,11
590,11
591,11
592,11
593,10
594,11
595,10
596,11
597,11
598,10
599,11
600,10
601,11
602,11
603,10
604,11
605,11
606,10
607,11
608,11
609,10
610,11
611,10
612,11
