index,cycle_time
0,24
1,13
2,9
3,8
4,5
5,6
6,5
7,7
8,7
9,8
10,8
11,7
12,8
13,8
14,8
15,20
16,11
17,7
18,7
19,8
20,8
21,9
22,7
23,8
24,8
25,8
26,8
27,8
28,8
29,8
30,8
31,9
32,8
33,10
34,7
35,8
36,7
37,9
38,9
39,8
40,8
41,9
42,8
43,9
44,8
45,9
46,8
47,8
48,9
49,9
50,8
51,8
52,8
53,22
54,11
55,8
56,8
57,8
58,8
59,8
60,9
61,8
62,8
63,8
64,9
65,10
66,8
67,9
68,9
69,9
70,9
71,9
72,9
73,8
74,9
75,8
76,9
77,9
78,20
79,11
80,8
81,9
82,9
83,10
84,8
85,10
86,9
87,8
88,10
89,9
90,8
91,10
92,8
93,9
94,10
95,9
96,9
97,9
98,10
99,10
100,8
101,11
102,20
103,11
104,10
105,9
106,9
107,11
108,9
109,10
110,10
111,9
112,10
113,9
114,8
115,10
116,9
117,10
118,9
119,9
120,10
121,22
122,13
123,9
124,9
125,9
126,10
127,9
128,10
129,10
130,9
131,10
132,10
133,10
134,11
135,9
136,10
137,10
138,9
139,11
140,9
141,10
142,10
143,10
144,10
145,10
146,10
147,10
148,10
149,10
150,10
151,11
152,9
153,11
154,10
155,11
156,13
157,9
158,11
159,10
160,10
161,10
162,11
163,9
164,10
165,9
166,10
167,21
168,11
169,11
170,10
171,11
172,10
173,10
174,11
175,9
176,9
177,11
178,10
179,11
180,10
181,10
182,17
183,9
184,11
185,10
186,10
187,11
188,10
189,10
190,11
191,10
192,11
193,10
194,11
195,11
196,10
197,11
198,10
199,11
200,11
201,10
202,10
203,10
204,11
205,11
206,11
207,10
208,10
209,11
210,10
211,10
212,11
213,10
214,11
215,10
216,11
217,11
218,10
219,11
220,11
221,11
222,10
223,11
224,12
225,9
226,11
227,9
228,11
229,10
230,9
231,11
232,9
233,11
234,10
235,11
236,10
237,10
238,11
239,10
240,11
241,10
242,10
243,11
244,10
245,11
246,11
247,11
248,11
249,10
250,12
251,11
252,11
253,12
254,10
255,11
256,11
257,10
258,22
259,12
260,11
261,10
262,10
263,11
264,11
265,11
266,11
267,11
268,11
269,11
270,13
271,12
272,12
273,10
274,12
275,11
276,10
277,11
278,10
279,11
280,11
281,11
282,11
283,11
284,11
285,11
286,11
287,10
288,10
