,cycle_time
798,10
799,11
800,10
801,11
802,11
803,10
804,10
805,10
806,11
807,11
808,10
809,11
810,10
811,11
812,11
813,10
814,11
815,11
816,11
817,12
818,12
819,13
820,11
821,12
822,10
823,11
824,11
825,11
826,11
827,15
828,10
829,13
830,12
831,11
832,21
833,12
834,11
835,11
836,11
837,10
838,11
839,10
840,11
841,11
842,11
843,11
844,12
845,11
846,20
847,12
848,10
849,11
850,9
851,11
852,11
853,10
854,11
855,10
856,11
857,10
858,11
859,11
860,10
861,11
862,10
863,12
864,11
865,11
866,12
867,11
868,11
869,12
870,11
871,11
872,11
873,11
874,11
875,10
876,11
877,11
878,11
879,11
880,9
881,11
882,10
883,11
884,11
885,10
886,11
887,10
888,11
889,11
890,10
891,11
892,11
893,10
894,11
895,10
896,11
897,11
898,11
899,11
900,10
901,12
902,10
903,12
904,11
905,11
906,12
907,10
908,11
909,11
910,9
911,11
912,10
913,10
914,10
915,10
916,11
917,10
918,11
919,10
920,10
921,11
922,11
923,11
924,11
925,11
926,11
927,11
928,11
929,11
930,11
931,11
932,10
933,10
934,10
935,11
936,11
937,10
938,11
939,11
940,10
941,11
942,10
943,10
944,10
945,11
946,11
947,11
948,10
949,11
950,11
951,11
952,11
953,11
954,10
955,11
956,9
957,10
958,11
959,10
960,10
961,11
962,10
963,11
964,10
965,11
966,11
967,10
968,12
969,10
970,10
971,10
972,11
973,10
974,9
975,11
976,10
977,11
978,11
979,10
980,11
981,10
982,10
983,10
984,10
985,11
986,10
987,11
988,11
989,10
990,12
991,10
992,11
993,11
994,10
995,10
996,10
997,11
998,11
999,10
1000,10
1001,10
1002,11
1003,10
1004,10
1005,11
1006,10
1007,10
1008,10
1009,11
1010,10
1011,10
1012,11
1013,10
1014,11
1015,11
1016,10
1017,12
1018,10
1019,10
1020,11
1021,10
1022,11
1023,10
1024,13
1025,12
1026,11
1027,11
1028,10
1029,10
1030,13
1031,10
1032,10
1033,10
1034,10
1035,10
1036,12
1037,11
1038,12
1039,11
1040,11
1041,10
1042,10
1043,11
1044,11
1045,11
1046,11
1047,11
1048,10
1049,10
1050,10
1051,11
1052,10
1053,11
1054,11
1055,11
1056,11
1057,10
1058,12
1059,11
1060,12
1061,10
1062,11
1063,12
1064,10
1065,12
1066,12
1067,11
1068,12
1069,16
1070,12
1071,12
1072,11
1073,11
1074,10
1075,10
1076,11
1077,10
1078,10
1079,10
1080,10
1081,10
1082,10
1083,10
1084,10
1085,11
1086,10
1087,11
1088,10
1089,11
1090,12
1091,10
1092,11
1093,10
1094,11
1095,10
1096,10
1097,11
1098,10
1099,11
1100,10
1101,10
1102,10
1103,9
1104,22
1105,12
1106,10
1107,11
1108,10
1109,11
1110,10
1111,11
1112,11
1113,10
1114,11
1115,10
1116,10
1117,11
1118,10
1119,10
1120,10
1121,11
1122,11
1123,10
1124,11
1125,11
1126,11
1127,11
1128,12
1129,11
1130,10
1131,11
1132,11
1133,10
1134,10
1135,11
1136,15
1137,14
1138,11
1139,10
1140,11
1141,10
1142,11
1143,10
1144,10
1145,10
1146,10
1147,11
1148,10
1149,10
1150,11
1151,10
1152,11
1153,11
1154,11
1155,11
1156,10
1157,11
1158,10
1159,11
1160,11
1161,12
1162,12
1163,11
1164,12
1165,10
1166,12
1167,10
1168,10
1169,11
1170,10
1171,10
1172,10
1173,10
1174,10
1175,10
1176,11
1177,10
1178,12
1179,11
1180,11
1181,11
