,cycle_time
0,23
1,23
2,21
3,16
4,14
5,15
6,14
7,14
8,15
9,14
10,14
11,14
12,17
13,15
14,13
15,15
16,15
17,14
18,14
19,15
20,14
21,15
22,17
23,17
24,17
25,16
26,15
27,14
28,17
29,17
30,15
31,15
32,16
33,17
34,16
35,16
36,18
37,17
38,17
39,18
40,19
41,19
42,17
43,17
44,19
45,18
46,19
47,18
48,19
49,18
50,18
51,18
52,20
53,21
54,19
55,20
56,20
57,21
58,19
59,20
60,21
61,21
62,20
63,20
64,21
65,21
66,20
67,21
68,23
69,22
70,22
71,23
72,23
73,29
74,25
75,24
76,24
77,24
78,24
79,25
80,24
81,25
82,25
83,25
84,28
85,25
86,25
87,27
88,26
89,27
90,26
91,27
92,27
93,27
94,25
95,27
96,27
97,28
98,28
99,29
100,27
101,28
102,29
103,29
104,30
105,28
106,30
107,30
108,30
109,31
110,31
111,29
112,31
113,32
114,33
115,33
116,32
117,34
118,34
119,33
120,35
121,35
122,34
123,36
124,35
125,33
126,35
127,35
128,36
129,35
130,35
131,36
132,36
133,37
134,36
135,38
136,39
137,39
138,38
139,39
140,39
141,40
142,39
143,39
144,41
145,41
146,41
147,41
148,41
149,41
150,40
151,41
152,43
153,43
154,44
155,43
156,44
157,45
158,45
159,44
160,45
161,45
162,45
163,46
164,45
165,45
166,45
167,46
168,46
169,48
170,47
171,48
172,49
173,48
174,49
175,49
176,50
177,51
178,52
179,51
180,52
181,53
182,53
183,55
184,55
185,55
186,53
187,54
188,52
189,55
190,54
191,54
192,54
193,55
194,56
195,54
196,55
197,56
198,54
199,55
200,63
201,56
202,61
203,60
204,62
205,62
206,60
207,61
208,61
209,62
210,61
211,63
212,61
213,62
214,62
215,63
216,63
217,64
218,65
219,63
220,64
221,65
222,64
223,63
224,62
225,63
226,64
227,65
228,64
229,64
230,65
231,66
232,66
233,68
234,65
235,65
236,68
237,70
238,70
239,70
240,71
241,71
242,69
243,70
244,69
245,70
246,70
247,70
248,105
249,74
250,74
251,72
252,73
253,73
254,73
255,75
256,74
257,74
258,76
259,75
260,76
261,78
262,77
263,76
264,76
265,75
266,75
267,77
268,78
269,79
270,79
271,80
272,85
273,84
274,86
275,85
276,85
277,85
278,84
279,84
280,82
281,83
282,82
283,83
284,82
285,85
286,84
287,84
288,86
289,86
290,86
291,85
292,88
293,88
294,88
295,89
296,88
297,89
298,91
299,90
300,89
301,90
302,90
303,89
304,90
305,89
306,89
307,91
308,93
309,94
310,95
311,94
312,93
313,93
314,94
315,94
316,95
317,97
318,97
319,100
320,99
321,97
322,96
323,98
324,97
325,99
326,99
327,112
328,103
329,103
330,104
331,117
332,114
333,115
334,116
335,110
336,111
337,112
338,112
339,113
340,118
341,117
342,119
343,116
344,113
345,121
346,118
347,119
348,126
349,116
